codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;evol_population_2016_2022_pct;niveau_vie_median_euros;part_diplomes_superieur_2022;taux_chomage_2022;part_logements_vacants_2022;emplois_lieu_travail_2022
69153;Poleymieux-au-Mont-d'Or;69;1394;Commune résidentielle favorisée;0,00;100,00;7,48;35970;55,56;3,23;5,01;523
62279;Duisans;62;1393;Commune résidentielle favorisée;0,00;100,00;8,40;28940;47,37;4,59;4,18;770
57351;Jury;57;1383;Commune résidentielle favorisée;0,00;100,00;33,75;27620;39,69;5,79;4,02;695
33494;Salaunes;33;1244;Commune résidentielle favorisée;0,00;100,00;24,90;26640;38,51;5,61;3,92;774
76753;Ymare;76;1228;Commune résidentielle favorisée;14,29;100,00;6,14;27890;46,21;4,40;2,21;391
28158;Fontenay-sur-Eure;28;1180;Commune résidentielle favorisée;0,00;100,00;22,28;28410;37,33;4,37;4,00;749
28253;Mignières;28;1157;Commune résidentielle favorisée;0,00;100,00;11,90;26410;37,15;5,25;2,24;743
74003;Alex;74;1125;Commune résidentielle favorisée;0,00;100,00;6,94;30290;58,22;5,14;2,50;501
59399;Merris;59;1078;Commune résidentielle favorisée;0,00;100,00;5,17;25220;34,90;5,23;3,60;348
62042;Athies;62;1049;Commune résidentielle favorisée;0,00;100,00;5,64;25690;36,57;4,81;4,66;760
10381;Torvilliers;10;1035;Commune résidentielle favorisée;0,00;100,00;7,81;27700;35,29;4,63;2,63;713
31418;Pin-Balma;31;1029;Commune résidentielle favorisée;0,00;100,00;14,97;35860;57,40;5,25;4,25;272
10360;Saint-Pouange;10;999;Commune résidentielle favorisée;0,00;100,00;10,39;26560;36,34;3,10;1,55;260
77534;Yèbles;77;970;Commune résidentielle favorisée;0,00;100,00;6,13;27590;32,17;5,27;2,95;288
21558;Sainte-Marie-la-Blanche;21;917;Commune résidentielle favorisée;0,00;100,00;5,04;26220;33,29;2,93;3,26;407
54027;Atton;54;898;Commune résidentielle favorisée;0,00;100,00;10,59;25000;34,08;5,69;4,64;1107
26173;Marches;26;867;Commune résidentielle favorisée;0,00;100,00;9,89;25440;38,22;5,37;4,85;269
64041;Aressy;64;846;Commune résidentielle favorisée;0,00;100,00;23,32;26590;32,20;4,25;4,90;416
73098;Les Déserts;73;826;Commune résidentielle favorisée;0,00;100,00;5,90;25050;47,36;3,72;0,86;320
57137;Cheminot;57;824;Commune résidentielle favorisée;0,00;100,00;6,60;25360;35,34;3,91;4,52;220
74294;Verchaix;74;794;Commune résidentielle favorisée;14,29;100,00;7,73;25530;39,61;4,71;3,10;214
71583;Vinzelles;71;762;Commune résidentielle favorisée;14,29;100,00;9,80;27350;34,26;3,92;2,96;304
21297;Gilly-lès-Cîteaux;21;729;Commune résidentielle favorisée;0,00;100,00;5,50;29240;42,83;3,53;3,75;279
77104;Châtres;77;712;Commune résidentielle favorisée;0,00;100,00;6,75;30620;38,74;2,27;5,04;1164
74190;Morillon;74;694;Commune dynamique / attractive;14,29;100,00;7,26;25070;40,25;4,03;1,41;309
