codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;taux_chomage_2022;niveau_vie_median_euros;part_sans_diplome_2022;part_logements_vacants_2022;part_familles_monoparentales_2022;evol_population_2016_2022_pct;part_60_ans_plus_2022
36046;La Châtre;36;4038;Pôle urbain / pôle d'emploi;100;16,67;15,60;20310;30,19;17,26;19,67;-3,33;45,37
72176;Le Lude;72;4016;Pôle urbain / pôle d'emploi;100;16,67;12,17;20330;31,89;13,79;16,35;-7,55;43,77
61293;Mortagne-au-Perche;61;3857;Pôle urbain / pôle d'emploi;100;16,67;14,05;20580;32,56;12,49;22,51;-0,39;37,96
34111;Ganges;34;3854;Pôle urbain / pôle d'emploi;100;16,67;19,79;17450;29,12;20,84;22,07;-3,34;40,81
45115;Courtenay;45;3799;Pôle urbain / pôle d'emploi;100;16,67;18,28;20910;31,86;16,08;17,36;-5,85;41,67
30350;Le Vigan;30;3786;Pôle urbain / pôle d'emploi;100;16,67;21,73;18020;27,70;14,10;20,89;-1,76;41,79
24352;Ribérac;24;3770;Pôle urbain / pôle d'emploi;100;16,67;17,05;19940;25,08;20,83;22,30;-3,26;44,16
30263;Saint-Hippolyte-du-Fort;30;3738;Pôle urbain / pôle d'emploi;100;16,67;17,60;19830;27,04;16,51;16,34;-5,03;36,70
55291;Ligny-en-Barrois;55;3696;Pôle urbain / pôle d'emploi;100;16,67;15,27;20330;33,76;15,46;19,33;-8,92;40,31
41151;Montrichard Val de Cher;41;3641;Pôle urbain / pôle d'emploi;100;16,67;14,59;20900;28,69;16,63;19,37;-4,59;46,33
58079;Clamecy;58;3597;Pôle urbain / pôle d'emploi;100;16,67;22,79;18240;38,61;29,85;17,56;-5,91;38,56
87011;Bellac;87;3569;Pôle urbain / pôle d'emploi;100;16,67;15,55;19850;31,05;17,21;17,28;-9,94;46,76
63338;Saint-Éloy-les-Mines;63;3484;Pôle urbain / pôle d'emploi;100;16,67;16,20;19310;27,74;21,29;18,91;-6,22;39,61
32256;Mirande;32;3442;Pôle urbain / pôle d'emploi;100;16,67;15,85;20400;25,28;16,19;17,62;-1,18;40,76
16292;Ruffec;16;3394;Pôle urbain / pôle d'emploi;100;16,67;17,03;19460;33,22;17,67;16,09;-1,39;44,25
28214;La Loupe;28;3230;Pôle urbain / pôle d'emploi;100;16,67;15,94;19340;33,80;12,47;23,23;-5,17;38,11
17240;Montendre;17;3226;Pôle urbain / pôle d'emploi;100;16,67;17,37;20020;30,98;12,57;19,24;-0,15;43,89
46309;Souillac;46;3199;Pôle urbain / pôle d'emploi;100;16,67;21,63;19500;26,25;21,36;17,92;-4,28;41,42
88468;Le Thillot;88;3198;Pôle urbain / pôle d'emploi;100;16,67;15,06;19090;35,05;11,52;16,51;-7,41;39,84
58134;Imphy;58;3175;Commune fragile;100;16,67;15,81;20110;30,40;16,91;16,88;-7,06;39,69
40313;Tartas;40;3174;Commune fragile;100;16,67;15,29;21030;28,75;12,37;19,63;-2,16;38,09
08185;Fumay;08;3118;Commune fragile;100;16,67;25,04;18590;42,77;18,77;20,68;-10,27;37,72
09194;Mirepoix;09;3106;Commune fragile;100;16,67;17,25;20190;24,30;17,46;19,05;-2,66;40,89
23008;Aubusson;23;3036;Commune fragile;100;16,67;15,41;18830;27,55;27,43;24,18;-10,71;44,96
