codgeo;nom_commune;code_departement;population_2022;typologie_commune;logements_2022;logements_vacants_2022;part_logements_vacants_2022;evol_logements_vacants_2016_2022_pct;evol_population_2016_2022_pct;score_fragilite_100
63398;Saint-Sauveur-la-Sagne;63;83;Commune fragile;123;32;26,02;966,67;-13,54;83,33
09139;L'Hospitalet-près-l'Andorre;09;94;Commune intermédiaire;123;32;26,02;0,00;3,30;50,00
53080;Couptrain;53;114;Commune fragile;131;34;25,95;25,93;-10,24;71,43
16239;Mouzon;16;139;Commune fragile;112;29;25,89;-19,44;6,92;71,43
08057;Belleville-et-Châtillon-sur-Bar;08;241;Commune intermédiaire;159;41;25,79;41,38;-10,07;57,14
23065;Colondannes;23;288;Commune intermédiaire;233;60;25,75;62,16;7,87;42,86
18192;Reigny;18;228;Commune fragile;202;52;25,74;136,36;-13,64;85,71
15213;Saint-Saturnin;15;191;Commune fragile;241;62;25,73;24,00;-7,28;71,43
48126;Lachamp-Ribennes;48;375;Commune intermédiaire;362;93;25,69;50,00;10,29;28,57
34287;Saint-Saturnin-de-Lucian;34;289;Commune intermédiaire;199;51;25,63;70,00;0,70;28,57
30132;La Grand-Combe;30;4836;Pôle urbain / pôle d'emploi;3103;795;25,62;29,27;-4,92;85,71
11378;Serviès-en-Val;11;207;Commune fragile;188;48;25,53;20,00;-5,91;71,43
34245;Saint-Chinian;34;1775;Commune fragile;1353;345;25,50;13,86;3,26;71,43
21153;Châtellenot;21;163;Commune intermédiaire;106;27;25,47;0,00;10,14;28,57
10058;Bragelogne-Beauvoir;10;221;Commune intermédiaire;189;48;25,40;17,07;-9,43;42,86
52178;Doulevant-le-Château;52;367;Commune intermédiaire;225;57;25,33;18,75;0,00;57,14
08089;Buzancy;08;381;Commune intermédiaire;237;60;25,32;9,09;13,06;42,86
70292;Jussey;70;1550;Commune fragile;1092;276;25,27;18,45;-5,78;100,00
23221;Saint-Merd-la-Breuille;23;195;Commune intermédiaire;222;56;25,23;24,44;3,17;42,86
36028;La Buxerette;36;111;Commune fragile;111;28;25,23;12,00;3,74;71,43
